Outer fold,test_data_size,K,KNN_test_error,lambda,Logistic_test_error,baseline_test_error
1,47.0,23,23.400000000000002,22.12216291070448,23.400000000000002,36.199999999999996
2,47.0,23,25.5,22.12216291070448,21.3,27.700000000000003
3,46.0,31,32.6,11.721022975334806,34.8,41.3
4,46.0,31,19.6,11.721022975334806,19.6,30.4
5,46.0,31,23.9,11.721022975334806,26.1,28.299999999999997
6,46.0,31,39.1,11.721022975334806,37.0,32.6
7,46.0,31,26.1,11.721022975334806,26.1,32.6
8,46.0,31,30.4,11.721022975334806,23.9,34.8
9,46.0,31,30.4,11.721022975334806,26.1,47.8
10,46.0,31,32.6,11.721022975334806,26.1,34.8
11,,,28.4,,26.4,34.6
